region,subregion,date,tfs_coefficient_value,tfs_exponent_value,tfs_coefficient_sd,tfs_exponent_sd,tfs_coefficient_r2,tfs_exponent_r2,information,window_flag,length
Spain,Province,2021-05-10,48.5184619659554,-0.620241969984749,0.00487820477796185,2.55835097116353e-4,0.999984858065021,0.999984858065021,cases,fixed,90
Spain,Province,2021-05-11,48.522279505091,-0.620442177690135,0.00482206672352472,2.5289022055397e-4,0.999985214193152,0.999985214193152,cases,fixed,90
Spain,Province,2021-05-12,48.5260842108525,-0.620641711754843,0.00476454213022014,2.49872645548282e-4,0.999985574221772,0.999985574221772,cases,fixed,90
Spain,Province,2021-05-13,48.5298727310105,-0.620840396390709,0.00470637175976713,2.46821221282912e-4,0.999985933405884,0.999985933405884,cases,fixed,90
Spain,Province,2021-05-14,48.5336415142325,-0.621038045369186,0.0046483181340188,2.43775937670981e-4,0.999986287099973,0.999986287099973,cases,fixed,90
Spain,Province,2021-05-15,48.5373934875535,-0.621234812208838,0.00459077692367972,2.4075754510647e-4,0.999986633046248,0.999986633046248,cases,fixed,90
Spain,Province,2021-05-16,48.5411335848116,-0.621430955667795,0.0045339366311391,2.37775929088652e-4,0.999986970301811,0.999986970301811,cases,fixed,90
Spain,Province,2021-05-17,48.5448607473543,-0.621626420238383,0.00447831872522745,2.34858436906493e-4,0.999987296075834,0.999987296075834,cases,fixed,90
Spain,Province,2021-05-18,48.548572550344,-0.621821078766701,0.00442452181270275,2.32036460894487e-4,0.999987607292183,0.999987607292183,cases,fixed,90
Spain,Province,2021-05-19,48.5522678095427,-0.622014869160034,0.00437308589743529,2.29338319699991e-4,0.999987901362305,0.999987901362305,cases,fixed,90
Spain,Province,2021-05-20,48.5559455849509,-0.622207742134184,0.00432452076530611,2.26790746917151e-4,0.99998817599206,0.99998817599206,cases,fixed,90
Spain,Province,2021-05-21,48.5596049095526,-0.622399646987999,0.00427931226322246,2.24419220399665e-4,0.999988429119594,0.999988429119594,cases,fixed,90
Spain,Province,2021-05-22,48.5632497665851,-0.62259079262361,0.0042377642059688,2.22239671452414e-4,0.999988659743783,0.999988659743783,cases,fixed,90
Spain,Province,2021-05-23,48.5668856273933,-0.62278146597973,0.00420006356858084,2.20261903823752e-4,0.999988867502908,0.999988867502908,cases,fixed,90
Spain,Province,2021-05-24,48.5705130766223,-0.622971697724436,0.00416660864711618,2.18506803321867e-4,0.999989050896901,0.999989050896901,cases,fixed,90
Spain,Province,2021-05-25,48.5741316273653,-0.623161462330313,0.00413776955764503,2.1699377769027e-4,0.999989208577264,0.999989208577264,cases,fixed,90
Spain,Province,2021-05-26,48.5777415983541,-0.623350776518376,0.00411382528590347,2.15737455383961e-4,0.999989339649817,0.999989339649817,cases,fixed,90
Spain,Province,2021-05-27,48.5813434220534,-0.623539662973203,0.00409500149222049,2.1474966820186e-4,0.999989443443969,0.999989443443969,cases,fixed,90
Spain,Province,2021-05-28,48.5849373039326,-0.623728132475611,0.00408154262288725,2.14043232974209e-4,0.99998951911892,0.99998951911892,cases,fixed,90
Spain,Province,2021-05-29,48.5885275409,-0.623916410366316,0.00407354263555378,2.13623074517898e-4,0.99998956652498,0.99998956652498,cases,fixed,90
Spain,Province,2021-05-30,48.5921198193281,-0.624104794848858,0.00407104090959196,2.13491255429803e-4,0.999989585686966,0.999989585686966,cases,fixed,90
Spain,Province,2021-05-31,48.5957154846772,-0.624293356480806,0.00407407867625607,2.13649935399044e-4,0.999989576499664,0.999989576499664,cases,fixed,90
Spain,Province,2021-06-01,48.5993153097993,-0.624482135791076,0.00408269500197869,2.14101160565049e-4,0.999989538752725,0.999989538752725,cases,fixed,90
Spain,Province,2021-06-02,48.6029199763931,-0.624671168528026,0.00409690788987161,2.14845872463368e-4,0.999989472226318,0.999989472226318,cases,fixed,90
Spain,Province,2021-06-03,48.6065308772274,-0.624860527729203,0.0041167413541057,2.1588532784476e-4,0.99998937655276,0.99998937655276,cases,fixed,90
Spain,Province,2021-06-04,48.6101492240316,-0.625050276937519,0.00414219174138792,2.17219332546082e-4,0.999989251388041,0.999989251388041,cases,fixed,90
Spain,Province,2021-06-05,48.6137798297952,-0.625240668545711,0.00417315018334722,2.18842174874039e-4,0.999989096827624,0.999989096827624,cases,fixed,90
