region,statistic,coefficient,slope,information
Brazil,Estimate,0.6122902559676555,0.5110006060775985,sdlog
Brazil,Standard error,0.07074092461854627,0.07948550902094036,sdlog
Brazil,t value,8.655389497229308,6.4288524080908385,sdlog
Brazil,Pr(>|t|),2.009182784727846e-12,1.7485880020572713e-8,sdlog
Brazil,R2,0.38869639415636736,0.38869639415636736,sdlog
Europe,Estimate,-1.297134939859634,1.9803329835985144,sdlog
Europe,Standard error,0.12921753569706396,0.07449839204978645,sdlog
Europe,t value,-10.03838165510772,26.582224516672518,sdlog
Europe,Pr(>|t|),2.6927573897863664e-14,3.584823818599246e-34,sdlog
Europe,R2,0.9241447973536459,0.9241447973536459,sdlog
Georgia,Estimate,1.4842298373840288,-0.26875776359557724,sdlog
Georgia,Standard error,0.08486553341561273,0.06418346006417057,sdlog
Georgia,t value,17.489194701873807,-4.187336789367127,sdlog
Georgia,Pr(>|t|),3.4051007655173e-23,1.1174149897828015e-4,sdlog
Georgia,R2,0.2558415278692163,0.2558415278692163,sdlog
Illinois,Estimate,-0.16904360910239705,1.135544416282244,sdlog
Illinois,Standard error,0.08765378702302992,0.0638122288992947,sdlog
Illinois,t value,-1.928537429398036,17.795090938984497,sdlog
Illinois,Pr(>|t|),0.05829701759409368,2.929053125102672e-26,sdlog
Illinois,R2,0.834064355146264,0.834064355146264,sdlog
India,Estimate,0.786209311086026,0.7789847433036748,sdlog
India,Standard error,0.40436117901997826,0.22360834471746205,sdlog
India,t value,1.9443244106457158,3.4837015778098657,sdlog
India,Pr(>|t|),0.05785513313814249,0.0010808697697910956,sdlog
India,R2,0.20522423605845852,0.20522423605845852,sdlog
Kansas,Estimate,1.4596894822301172,-0.24375664324578705,sdlog
Kansas,Standard error,0.22301199744150968,0.1732806436618077,sdlog
Kansas,t value,6.545340604883629,-1.4067159383452403,sdlog
Kansas,Pr(>|t|),1.9557979871171876e-7,0.1688599018401012,sdlog
Kansas,R2,0.05657275028771858,0.05657275028771858,sdlog
Kentucky,Estimate,-2.2565333822252778,3.3574498016833467,sdlog
Kentucky,Standard error,0.581036482006078,0.6289218792409773,sdlog
Kentucky,t value,-3.883634594568664,5.338421054353093,sdlog
Kentucky,Pr(>|t|),3.5824562152249063e-4,3.526135522492849e-6,sdlog
Kentucky,R2,0.4042446661441065,0.4042446661441065,sdlog
Missouri,Estimate,-3.384019023698452,4.010204310644725,sdlog
Missouri,Standard error,0.5652112650515712,0.5013469182993227,sdlog
Missouri,t value,-5.98717547391715,7.998860996788824,sdlog
Missouri,Pr(>|t|),1.0017839476400052e-6,3.152177228939732e-9,sdlog
Missouri,R2,0.6597298901183184,0.6597298901183184,sdlog
North Carolina,Estimate,-0.27291813212598653,1.2163604687460672,sdlog
North Carolina,Standard error,0.3308757407202947,0.2921099781334441,sdlog
North Carolina,t value,-0.8248357269465019,4.164049706615634,sdlog
North Carolina,Pr(>|t|),0.413306249820105,1.2057998151862707e-4,sdlog
North Carolina,R2,0.25372380800342187,0.25372380800342187,sdlog
Spain,Estimate,-1.3049648349456031,2.393570178897004,sdlog
Spain,Standard error,0.20369499789486106,0.21606361034092766,sdlog
Spain,t value,-6.406464804890162,11.078081011051234,sdlog
