region,subregion,date,distribution_name,information,scale,inequality,shape,aic,bic,meanlog,sdlog,log-likelihood
Missouri,County,2021-03-15,lognormal,cum_deaths,NA,NA,NA,1144.85064969145,1370.85064969145,3.32938139270855,1.2360252295156,570.425324845723
Missouri,County,2021-03-15,weibull,cum_cases,3750.20338906058,NA,0.740520145723852,2159.52582248457,2165.0156867413,NA,NA,NA
Missouri,County,2021-04-01,burr,cum_cases,5300.61435410525,77.0980902034505,0.0311779343464477,2113.43079624411,2121.6655926292,NA,NA,NA
Missouri,County,2021-04-01,burr,cum_deaths,75.7104395447714,221.816415882935,0.010100865788441,1150.58782449822,1158.82262088331,NA,NA,NA
Missouri,County,2021-04-01,gamma,cum_cases,4988.67826086957,NA,0.685821920514705,2179.84654112971,2185.33640538644,NA,NA,NA
Missouri,County,2021-04-01,gamma,cum_deaths,73.9999999999999,NA,0.647883240290902,1206.79538190211,1212.28524615883,NA,NA,NA
Missouri,County,2021-04-01,lognormal,cum_cases,NA,NA,NA,2115.63151409432,2341.63151409432,7.63119938515878,1.13981915252329,1055.81575704716
Missouri,County,2021-04-01,lognormal,cum_deaths,NA,NA,NA,1149.28361380723,1375.28361380723,3.36098625275574,1.22087616558279,572.641806903613
Missouri,County,2021-04-01,weibull,cum_cases,3796.04691886364,NA,0.73856049057529,2162.57364624243,2168.06351049915,NA,NA,NA
Missouri,County,2021-04-15,burr,cum_cases,5382.80006295777,63.5442228087647,0.0380373250494342,2116.1898771733,2124.42467355839,NA,NA,NA
Missouri,County,2021-04-15,burr,cum_deaths,76.7856960627161,221.522837664882,0.0101158520060948,1153.79146473438,1162.02626111947,NA,NA,NA
Missouri,County,2021-04-15,gamma,cum_cases,5060.28695652175,NA,0.682264109044025,2182.74234738684,2188.23221164357,NA,NA,NA
Missouri,County,2021-04-15,gamma,cum_deaths,75.0782608695651,NA,0.647320117133798,1210.04649246734,1215.53635672407,NA,NA,NA
Missouri,County,2021-04-15,lognormal,cum_cases,NA,NA,NA,2118.17563130293,2344.17563130293,7.64019347075099,1.1421786589866,1057.08781565146
Missouri,County,2021-04-15,lognormal,cum_deaths,NA,NA,NA,1152.27054026124,1378.27054026124,3.37451518077273,1.22021565978555,574.135270130622
Missouri,County,2021-04-15,weibull,cum_cases,3835.86683250946,NA,0.736679207855114,2165.22766552669,2170.71752978341,NA,NA,NA
Missouri,County,2021-05-01,burr,cum_cases,5593.92362747358,65.2233616145329,0.0369825126775234,2071.06701921264,2079.22251582653,NA,NA,NA
Missouri,County,2021-05-01,burr,cum_deaths,79.6423308117304,222.338054363696,0.0100894568287182,1132.24251626323,1140.39801287712,NA,NA,NA
Missouri,County,2021-05-01,gamma,cum_cases,5259.21428571427,NA,0.683762725162259,2134.70050020437,2140.13749794696,NA,NA,NA
Missouri,County,2021-05-01,gamma,cum_deaths,77.6964285714408,NA,0.657134496512053,1187.51729090417,1192.95428864676,NA,NA,NA
Missouri,County,2021-05-01,lognormal,cum_cases,NA,NA,NA,2072.23738739374,2292.23738739374,7.68097086772681,1.14257977385084,1034.11869369687
Missouri,County,2021-05-01,lognormal,cum_deaths,NA,NA,NA,1130.29546355224,1350.29546355224,3.42489642931764,1.20233963064253,563.147731776122
Missouri,County,2021-05-01,weibull,cum_cases,3994.19809859716,NA,0.737565608760635,2117.77965087175,2123.21664861434,NA,NA,NA
Missouri,County,2021-05-15,burr,cum_cases,5628.26127758068,64.9882911880635,0.0374228488274474,2088.6463322442,2096.82849570033,NA,NA,NA
Missouri,County,2021-05-15,burr,cum_deaths,79.9205008635791,219.200260294939,0.0101499166311426,1145.09429119612,1153.27645465226,NA,NA,NA
Missouri,County,2021-05-15,gamma,cum_cases,5277.33628318583,NA,0.683927301706445,2154.51940910056,2159.97418473799,NA,NA,NA
Missouri,County,2021-05-15,gamma,cum_deaths,78.265486725678,NA,0.654542270953269,1199.40680262645,1204.86157826387,NA,NA,NA
Missouri,County,2021-05-15,lognormal,cum_cases,NA,NA,NA,2090.57353156721,2312.57353156721,7.68465511956425,1.13772547196774,1043.28676578361
Missouri,County,2021-05-15,lognormal,cum_deaths,NA,NA,NA,1143.3021105976,1365.3021105976,3.42799185941215,1.21437477550702,569.6510552988
Missouri,County,2021-05-15,weibull,cum_cases,4003.22372072819,NA,0.737428122053205,2137.27357871343,2142.72835435086,NA,NA,NA
Missouri,County,2021-06-01,burr,cum_cases,5579.38253382696,67.7014578667265,0.0357151938707942,2124.18423025724,2132.41902664233,NA,NA,NA
Missouri,County,2021-06-01,burr,cum_deaths,80.9830459914167,222.679793420785,0.0100631638543776,1166.93396272626,1175.16875911135,NA,NA,NA
Missouri,County,2021-06-01,gamma,cum_cases,5251.86086956521,NA,0.677893287497181,2190.8074608834,2196.29732514012,NA,NA,NA
Missouri,County,2021-06-01,gamma,cum_deaths,78.9565217391467,NA,0.661791523212415,1223.50307701992,1228.99294127664,NA,NA,NA
Missouri,County,2021-06-01,lognormal,cum_cases,NA,NA,NA,2125.93409227399,2351.93409227399,7.67080894911367,1.14574418833222,1060.967046137
Missouri,County,2021-06-01,lognormal,cum_deaths,NA,NA,NA,1164.99486867694,1390.99486867694,3.44844153829839,1.19772308964427,580.497434338469
Missouri,County,2021-06-01,weibull,cum_cases,3961.84109707822,NA,0.734124314974278,2172.981354551,2178.47121880772,NA,NA,NA
Missouri,County,2021-06-15,burr,cum_cases,5706.06216988097,67.4082064247307,0.0359309594510568,2110.87486472863,2119.08346007381,NA,NA,NA
Missouri,County,2021-06-15,burr,cum_deaths,84.4082113960432,68.4749458858135,0.0339214405987283,1162.8034485935,1171.01204393868,NA,NA,NA
Missouri,County,2021-06-15,gamma,cum_cases,5358.16666666666,NA,0.684535714660975,2177.08095680116,2182.55335369795,NA,NA,NA
Missouri,County,2021-06-15,gamma,cum_deaths,80.8684210526443,NA,0.668526006232107,1219.16193688805,1224.63433378484,NA,NA,NA
Missouri,County,2021-06-15,lognormal,cum_cases,NA,NA,NA,2112.7038229408,2336.7038229408,7.70075461009303,1.13769755044111,1054.3519114704
Missouri,County,2021-06-15,lognormal,cum_deaths,NA,NA,NA,1160.4118002037,1384.4118002037,3.48295199673907,1.18541170663266,578.205900101849
Missouri,County,2021-06-15,weibull,cum_cases,4067.61257515092,NA,0.737684114925601,2159.73876001055,2165.21115690734,NA,NA,NA
Missouri,County,2021-07-01,burr,cum_cases,5768.2743523151,70.4813313258605,0.0340884621789145,2133.3410856588,2141.57588204389,NA,NA,NA
Missouri,County,2021-07-01,burr,cum_deaths,83.0148676684965,223.227580377883,0.010007183335083,1173.61414209765,1181.84893848274,NA,NA,NA
Missouri,County,2021-07-01,gamma,cum_cases,5435.25217391306,NA,0.68145513632036,2199.09525662269,2204.58512087942,NA,NA,NA
Missouri,County,2021-07-01,gamma,cum_deaths,81.0000000000123,NA,0.662206677961169,1229.43124788165,1234.92111213837,NA,NA,NA
Missouri,County,2021-07-01,lognormal,cum_cases,NA,NA,NA,2134.92199635364,2360.92199635364,7.71047163376326,1.14507352943088,1065.46099817682
Missouri,County,2021-07-01,lognormal,cum_deaths,NA,NA,NA,1171.64570361503,1397.64570361503,3.47465335017852,1.20096897346835,583.822851807516
Missouri,County,2021-07-01,weibull,cum_cases,4119.5368078156,NA,0.736225337009006,2181.63401545938,2187.1238797161,NA,NA,NA
Missouri,County,2021-07-15,burr,cum_cases,5771.88486453718,19.1784331817973,0.128497153369559,2121.81551659142,2130.02411193661,NA,NA,NA
Missouri,County,2021-07-15,burr,cum_deaths,80.9034586710443,197.371766257381,0.0112997217101916,1158.5649839217,1166.77357926688,NA,NA,NA
Missouri,County,2021-07-15,gamma,cum_cases,5294.16666666669,NA,0.708140685154329,2176.66661011268,2182.13900700947,NA,NA,NA
Missouri,County,2021-07-15,gamma,cum_deaths,78.8333333333333,NA,0.67636875186535,1214.24969971308,1219.72209660987,NA,NA,NA
Missouri,County,2021-07-15,lognormal,cum_cases,NA,NA,NA,2113.98055410611,2337.98055410611,7.72230923593727,1.11969138356129,1054.99027705306
Missouri,County,2021-07-15,lognormal,cum_deaths,NA,NA,NA,1156.52392906743,1380.52392906743,3.469502996665,1.18115192165768,576.261964533713
Missouri,County,2021-07-15,weibull,cum_cases,4103.72313823803,NA,0.750987199539447,2160.26750890818,2165.73990580496,NA,NA,NA
Missouri,County,2021-08-01,burr,cum_cases,6335.10779137191,81.3581456716422,0.0290085988530033,2159.31384798406,2167.54864436915,NA,NA,NA
Missouri,County,2021-08-01,burr,cum_deaths,86.2519960087381,158.331156246189,0.0140829895429722,1184.37117448205,1192.60597086713,NA,NA,NA
Missouri,County,2021-08-01,gamma,cum_cases,6000.57391304348,NA,0.684483714278328,2222.18114609508,2227.67101035181,NA,NA,NA
Missouri,County,2021-08-01,gamma,cum_deaths,84.0608695652242,NA,0.664856418059283,1238.28642434804,1243.77628860477,NA,NA,NA
Missouri,County,2021-08-01,lognormal,cum_cases,NA,NA,NA,2159.86232321251,2385.86232321251,7.81391337965777,1.15080669922916,1077.93116160626
Missouri,County,2021-08-01,lognormal,cum_deaths,NA,NA,NA,1181.88809457323,1407.88809457323,3.51593335092119,1.20488191724074,588.944047286614
Missouri,County,2021-08-01,weibull,cum_cases,4573.78993644048,NA,0.738488418152133,2205.25149429776,2210.74135855448,NA,NA,NA
Missouri,County,2021-08-15,burr,cum_cases,6706.8281838336,65.5318431759112,0.0362398595261123,2172.72725877357,2180.96205515866,NA,NA,NA
Missouri,County,2021-08-15,burr,cum_deaths,90.5159798524016,70.3310759781199,0.0323489308081479,1195.10561969664,1203.34041608173,NA,NA,NA
Missouri,County,2021-08-15,gamma,cum_cases,6328.1304347826,NA,0.687229445467113,2234.69715394393,2240.18701820066,NA,NA,NA
Missouri,County,2021-08-15,gamma,cum_deaths,87.2000000000032,NA,0.668906350379687,1247.20388136669,1252.69374562341,NA,NA,NA
Missouri,County,2021-08-15,lognormal,cum_cases,NA,NA,NA,2172.89388838576,2398.89388838576,7.87109753961041,1.15020252442761,1084.44694419288
Missouri,County,2021-08-15,lognormal,cum_deaths,NA,NA,NA,1191.82562570706,1417.82562570706,3.55892424330214,1.20513948280574,593.912812853529
Missouri,County,2021-08-15,weibull,cum_cases,4837.70348961402,NA,0.740125023786923,2217.94101012336,2223.43087438008,NA,NA,NA
Missouri,County,2021-09-01,burr,cum_cases,6996.03353012699,55.9192225784843,0.0431229458679102,2160.89442989774,2169.10302524293,NA,NA,NA
Missouri,County,2021-09-01,burr,cum_deaths,95.8012123193481,56.0107251494382,0.0409790035906636,1197.68338489296,1205.89198023814,NA,NA,NA
Missouri,County,2021-09-01,gamma,cum_cases,6566.19298245615,NA,0.687531152951598,2223.751135532,2229.22353242879,NA,NA,NA
Missouri,County,2021-09-01,gamma,cum_deaths,91.8245614035105,NA,0.671182393764794,1248.44025557715,1253.91265247394,NA,NA,NA
Missouri,County,2021-09-01,lognormal,cum_cases,NA,NA,NA,2161.18457860913,2385.18457860913,7.90846599284176,1.14331181144877,1078.59228930457
Missouri,County,2021-09-01,lognormal,cum_deaths,NA,NA,NA,1194.29016530841,1418.29016530841,3.61411984867329,1.20624664446174,595.145082654204
Missouri,County,2021-09-01,weibull,cum_cases,5009.54096742007,NA,0.739870505681673,2206.8370375875,2212.30943448429,NA,NA,NA
Missouri,County,2021-09-15,burr,cum_cases,7353.80488734776,46.6897505354034,0.0519291175430436,2172.47446772258,2180.68306306776,NA,NA,NA
Missouri,County,2021-09-15,burr,cum_deaths,99.5203388564109,62.8122581942469,0.0363412331373712,1206.63089523302,1214.83949057821,NA,NA,NA
Missouri,County,2021-09-15,gamma,cum_cases,6870.14912280702,NA,0.691524976526997,2234.47918413601,2239.9515810328,NA,NA,NA
Missouri,County,2021-09-15,gamma,cum_deaths,95.4298245614046,NA,0.679028282181859,1258.10514864034,1263.57754553713,NA,NA,NA
Missouri,County,2021-09-15,lognormal,cum_cases,NA,NA,NA,2172.70985295895,2396.70985295895,7.95951917780031,1.1427355893181,1084.35492647947
Missouri,County,2021-09-15,lognormal,cum_deaths,NA,NA,NA,1203.60867077812,1427.60867077812,3.66456969384298,1.19474589624879,599.804335389059
Missouri,County,2021-09-15,weibull,cum_cases,5267.90843185562,NA,0.742146889207844,2217.94784393642,2223.42024083321,NA,NA,NA
Missouri,County,2021-10-01,burr,cum_cases,7638.78872052701,51.8517587428926,0.0463085834234695,2202.58848641657,2210.82328280166,NA,NA,NA
Missouri,County,2021-10-01,burr,cum_deaths,105.471516865222,47.1990985946924,0.0489044886121966,1231.12506895652,1239.35986534161,NA,NA,NA
