region,subregion,lag,frequency,cum_frequency,psd,days,psd_d1,psd_d2,psd_d1_sd,psd_d2_sd,maxima,lag_days
Georgia,County,210,1,0.004761904761904762,0.7351203779411741,209.99999999999997,-0.018621930992864577,-0.008889782057485252,0.04001634159380229,0.058949740273670066,4,146
Georgia,County,183,1,0.00546448087431694,0.6440555401080761,183,0.02180740202414888,0.038146531233271164,0.04001634159380229,0.058949740273670066,5,146
Georgia,County,182,1,0.005494505494505495,0.6222481380839272,182,-0.016339129209122283,0.19803946151918628,0.04001634159380229,0.058949740273670066,6,146
Georgia,County,200,1,0.005,0.5818086367422374,200,-0.038986384233590465,-0.0030759221633104294,0.04001634159380229,0.058949740273670066,7,146
Georgia,County,435,1,0.0022988505747126436,0.47939004650850026,435,0.024249225238546113,0.4010037583280135,0.04001634159380229,0.058949740273670066,8,146
Georgia,County,503,1,0.0019880715705765406,0.4389040811747929,503.00000000000006,0.02048126859273297,0.23449336067508658,0.04001634159380229,0.058949740273670066,9,146
Georgia,County,481,1,0.002079002079002079,0.4364785206130817,481,0.03701901584245931,0.25319837412838875,0.04001634159380229,0.058949740273670066,10,146
Illinois,County,106,1,0.009433962264150943,0.9536976759756685,106,0.0030887288427363657,-0.0036001215984302615,0.009761854497514691,0.015703132217539603,1,46
Illinois,County,105,1,0.009523809523809525,0.9506089471329321,104.99999999999999,0.006688850441166627,-0.002683776271767968,0.009761854497514691,0.015703132217539603,2,46
Illinois,County,130,1,0.007692307692307693,0.9480885223889556,130,0.007434598748567889,0.009013340902927824,0.009761854497514691,0.015703132217539603,3,46
Illinois,County,119,1,0.008403361344537815,0.9452513477006579,119,-0.002207778013479378,0.05328741748330046,0.009761854497514691,0.015703132217539603,4,46
Illinois,County,133,1,0.007518796992481203,0.9400117738311006,133,2.4844292659131906e-4,0.029043101690729656,0.009761854497514691,0.015703132217539603,5,46
Illinois,County,46,1,0.021739130434782608,0.939869588566809,46,0.0014194170333799994,0.00919391387530255,0.009761854497514691,0.015703132217539603,6,46
Illinois,County,95,1,0.010526315789473684,0.9367744206774191,95,0.005068382835016649,0.038328316387238326,0.009761854497514691,0.015703132217539603,7,46
Illinois,County,287,1,0.003484320557491289,0.9295159133038985,287,-7.548815808458009e-4,0.04607166645197691,0.009761854497514691,0.015703132217539603,8,46
Illinois,County,262,1,0.003816793893129771,0.9278318281727307,262,0.008125428344920027,0.012499016627314674,0.009761854497514691,0.015703132217539603,9,46
Illinois,County,288,1,0.003472222222222222,0.9270310453626822,288,-0.0024848679412162733,-0.0017299863603704724,0.009761854497514691,0.015703132217539603,10,46
India,State,16,1,0.0625,6.363955903370183,16,0.11113065059755556,0.2831954242481389,0.1545948662703545,0.2350792558177583,1,16
India,State,19,1,0.05263157894736842,4.434370999663448,19,-2.0662662246984098e-5,0.8467359706389681,0.1545948662703545,0.2350792558177583,2,16
India,State,24,1,0.041666666666666664,3.851671596015614,24,0.015375397471566465,0.018082498473218855,0.1545948662703545,0.2350792558177583,3,16
India,State,23,1,0.043478260869565216,3.8362961985440474,23,-0.00270710100165239,0.5021206928494091,0.1545948662703545,0.2350792558177583,4,16
