region,subregion,date,lag,ccf,pacf_cases,pacf_deaths,days,pacf_cases_d1,pacf_cases_d2,pacf_deaths_d1,pacf_deaths_d2,pacf_cases_d1_sd,pacf_cases_d2_sd,pacf_deaths_d1_sd,pacf_deaths_d2_sd,minima,ma_days
Europe,Country,2020-02-20,50,0.20272849187526634,-0.12334671757675887,-0.003922527552592846,50,-0.1530818109172952,-0.2094314476707548,-0.038351383827536036,-0.04945999166153981,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,1,11
Europe,Country,2020-01-13,12,0.17314527982971104,-0.09909408129106816,-0.045642134115536054,12,-0.00999985007249439,-0.08650588703389224,0.01052809597622291,0.0012106720825438566,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,2,11
Europe,Country,2020-01-12,11,0.16729592463676046,-0.08909423121857377,-0.05617023009175896,11,0.07650603696139785,0.03204785793606618,0.009317423893679053,-0.019487237935973012,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,3,11
Europe,Country,2020-08-31,243,-0.14807719832792257,-0.08166474922840058,-0.04114554103550617,243,-0.054502910529752174,-0.08382414472821242,-0.0013006881583381355,0.02882621538191428,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,4,11
Europe,Country,2020-02-15,45,0.15685284112659476,-0.06659278124075393,-0.017588319382119896,45,-0.033154702642193036,-0.010724749438791377,0.009223063731840217,0.030623539716068356,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,5,11
Europe,Country,2020-07-15,196,-0.2062192356421725,-0.06532709497955397,0.024052484894355984,196,-0.057837314784396444,-0.10934963831765453,0.016507135303554837,0.02150398928314451,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,6,11
Europe,Country,2021-01-07,372,0.47011770327361213,-0.05992959414928025,-0.007621799441489355,372,-0.06932072735813322,-0.06574864513800843,-0.009179580038907821,-0.01722275276532347,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,7,11
Europe,Country,2020-04-02,92,0.060579458283360775,-0.05960272249721826,2.6269097416877087e-4,92,-0.0705805593063296,-0.04640393547002706,-0.004427306563897841,-0.014566103051321593,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,8,11
Europe,Country,2020-07-13,194,-0.24659605165066978,-0.059002103728415606,0.012542203570390818,194,-0.07596486697453382,-0.09982177571583066,3.11951793899503e-5,-7.81158749469546e-4,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,9,11
Europe,Country,2021-03-01,425,0.4967247999373948,-0.05832453812806733,0.0050297983900342205,425,-0.08589829506006305,-0.09283947823356373,-0.009597228122325743,-0.0028805832689679425,0.1728418312731753,0.2686233288861905,0.07829451582112651,0.09885465420860864,10,11
