region,subregion,date,hurst_value,hurst_sd,information,window_flag,length,hurst_excess_fit,hurst_excess_lower,hurst_excess_upper
USA,State,2021-04-06,0.6066156245176147,0.1542175515671252,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-07,0.58117901401186,0.1529111391398349,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-08,0.5957472314393828,0.14897939515642408,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-09,0.6096573981433708,0.14956642170369408,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-10,0.5642184055055409,0.15158058250351797,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-11,0.5563559886299178,0.14785634198961817,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-12,0.5695353607949799,0.14637624585481,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-13,0.5522666264946923,0.1501922793798857,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-14,0.532828568063491,0.15085323866182498,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-15,0.5437142530249767,0.15030749454385228,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-16,0.5469995776342451,0.15044653218107978,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-17,0.5265650573249306,0.15316057492396729,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-18,0.5172450250016642,0.15563673315810966,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-19,0.5293947065768306,0.1561304899674223,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-20,0.5295461582628265,0.15182702334619547,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-21,0.5298724471514852,0.15290698858241678,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-22,0.5321804068035224,0.15928901047637548,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-23,0.5239787980456195,0.1612969913284014,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-24,0.5186927192696278,0.16479414741914508,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-25,0.5310073309616975,0.16234082856537949,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-26,0.5369082813630583,0.15843926121175647,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-27,0.5262891820263301,0.15778796559236177,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-28,0.5241725111659582,0.1601819364285887,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-29,0.5375658678146378,0.15392489601512818,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-04-30,0.5438535669378903,0.15011257850637758,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-01,0.5174498654969589,0.15960643983823097,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-02,0.5099077358503354,0.15889970457360347,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-03,0.5083729694935064,0.15407025987177048,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-04,0.5014513106951869,0.15645610115574,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-05,0.4974725567603445,0.15971366538347237,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-06,0.5146911412345404,0.1534669070249325,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-07,0.5337516084361476,0.14799988690246338,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-08,0.5157100641771741,0.15472676261243978,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-09,0.4853701630958991,0.15085699201935887,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-10,0.47870403606649536,0.14870562786190147,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-11,0.463511497168848,0.14895581646101896,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-12,0.4344774695504947,0.15061148038345418,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-13,0.40343270680333587,0.15497366012145908,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-14,0.423030604958752,0.16072538046427198,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-15,0.44722995797167,0.165928814364253,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-16,0.46714218368376725,0.16981727124102358,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-17,0.4827413427301894,0.17242797520560948,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-18,0.5074448630551992,0.1743656867011757,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-19,0.5115918176128336,0.1689811657777523,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-20,0.5295498081019161,0.16066302544913577,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-21,0.5087974456087317,0.15295477060834617,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-22,0.5150592561140965,0.1519865070082574,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-23,0.5201267164609795,0.15279657737317637,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-24,0.5166670639656393,0.15260174555420258,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-25,0.5055571526981686,0.1506314664651973,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-26,0.48868973687054873,0.15563422747262817,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-27,0.4684786083402801,0.15693342930250487,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-28,0.46137168505519155,0.15453586494402738,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
USA,State,2021-05-29,0.44650854423748776,0.14320621910239018,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
